StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef,,
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,PlotOrientation,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,CategoryPlot,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/9/25 20:36,2013/9/26 13:28,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,"convertData(java.lang.String,java.lang.String)",メソッド,,,,,,,2013/9/29 18:13,2013/9/29 18:31,0:00:14,FALSE,1,1,14,FALSE
NA,NA,NA,NA,CCMakeKindsDataStart.java,例外Aは報告されません。スローするには、捕捉または宣言する必要があります,,,java.io.IOException,例外,,,,,2013/9/29 19:52,2013/9/29 19:52,0:00:13,TRUE,1,1,13,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorLoader,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCCompileErrorLoader,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCMainFrame,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCViewerStart.java,シンボルを見つけられません,CCMainFrame,クラス,,,,,,,2013/9/25 20:27,2013/9/25 20:35,0:00:00,FALSE,8,8,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:35,2013/9/29 21:32,0:00:00,FALSE,23,0,0,FALSE
