1384310019903	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/controller/CCFileLoader.java
1384310020891	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/controller/CCFileLoader.java
1384310019903	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/controller/CCFileLoader.java
1384310019904	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/model/CCCompileError.java
1384310019904	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/model/CCCompileError.java
1384310020916	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/model/CCCompileError.java
1384310019904	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/model/CCCompileError.java
1384310019905	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/model/CCCompileErrorList.java
1384310019905	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/model/CCCompileErrorList.java
1384310020942	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/model/CCCompileErrorList.java
1384310019905	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/model/CCCompileErrorList.java
1384310019906	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/model/CCCompileErrorManager.java
1384310019906	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/model/CCCompileErrorManager.java
1384310020967	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/model/CCCompileErrorManager.java
1384310019906	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/model/CCCompileErrorManager.java
1384310019907	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/sourcefinder/CCSourceFinder.java
1384310019907	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/sourcefinder/CCSourceFinder.java
1384310020991	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/sourcefinder/CCSourceFinder.java
1384310019907	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/sourcefinder/CCSourceFinder.java
1384310019908	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCAchivementButton.java
1384310019908	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCAchivementButton.java
1384310021017	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCAchivementButton.java
1384310019909	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCAchivementButton.java
1384310019909	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCAchivementFrame.java
1384310019909	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCAchivementFrame.java
1384310021044	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCAchivementFrame.java
1384310019910	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCAchivementFrame.java
1384310019910	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCErrorElementButton2.java
1384310019910	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCErrorElementButton2.java
1384310021068	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCErrorElementButton2.java
1384310019911	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCErrorElementButton2.java
1384310019911	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/view/CCGraphBackgroundColor.java
1384310019911	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/view/CCGraphBackgroundColor.java
1384310021093	Wed Nov 13 11:33:41 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/view/CCGraphBackgroundColor.java
1384310019912	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/view/CCGraphBackgroundColor.java
